station_id,volcano_code,volcano_name,region_group,lat_band,snow_ice_exposure,energy_system,comm_type,access_difficulty,maintenance_history,age_years,battery_margin_days,winter_operation,time_days,event,failure_mode,synthetic_data,source_dataset,source_url
MCH8,MCH,Mocho-Choshuenco,Sur Andino,39-40S,high,robust,radio,medium,preventive_delayed,7.6,7.4,1,429,1,snow_ice_damage,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
GUA4,GUA,Guallatiri,Norte Andino,18-20S,medium,standard,satellite,medium,preventive_delayed,7.5,4.8,1,547,1,sensor_or_controller_fault,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
COP3,COP,Copahue,Centro-Sur,37-38S,very_high,limited,cellular,low,preventive_delayed,4.5,3.5,0,495,1,communication_loss,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
ISL5,ISL,Isluga,Norte Andino,19-21S,medium,limited,radio,medium,unknown,2.5,1.0,0,75,1,energy_dropout,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
GUA6,GUA,Guallatiri,Norte Andino,18-20S,medium,standard,radio,high,preventive_recent,4.6,5.3,0,570,0,censored_no_failure_observed,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
LDM1,LDM,Laguna del Maule,Centro-Sur,35-37S,high,standard,cellular,low,preventive_delayed,6.3,6.6,1,715,0,censored_no_failure_observed,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
LLM7,LLM,Llaima,Sur Andino,38-39S,high,standard,satellite,low,preventive_delayed,5.0,4.8,1,165,1,sensor_or_controller_fault,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
OSR5,OSR,Osorno,Sur Andino,41-42S,very_high,robust,radio,medium,preventive_recent,5.9,8.6,1,713,0,censored_no_failure_observed,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
CAL5,CAL,Calbuco,Sur Andino,41-42S,very_high,standard,cellular,high,unknown,7.1,4.2,0,287,1,energy_dropout,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
COP4,COP,Copahue,Centro-Sur,37-38S,very_high,limited,satellite,medium,preventive_delayed,4.7,3.8,1,539,1,energy_dropout,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
MCH7,MCH,Mocho-Choshuenco,Sur Andino,39-40S,high,limited,radio,medium,unknown,8.2,1.0,1,66,1,snow_ice_damage,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
CAL4,CAL,Calbuco,Sur Andino,41-42S,high,standard,radio,high,unknown,6.5,5.2,1,631,0,censored_no_failure_observed,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
COP6,COP,Copahue,Centro-Sur,37-38S,high,standard,cellular,medium,preventive_recent,3.1,4.7,1,571,0,censored_no_failure_observed,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
LON7,LON,Lonquimay,Sur Andino,38-39S,high,limited,radio,high,preventive_delayed,5.7,3.7,1,276,1,energy_dropout,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
OSR2,OSR,Osorno,Sur Andino,41-42S,very_high,robust,satellite,high,preventive_recent,4.6,8.0,1,566,0,censored_no_failure_observed,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
VIL8,VIL,Villarrica,Sur Andino,39-40S,high,standard,radio,high,unknown,5.0,6.1,1,715,0,censored_no_failure_observed,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
QTP5,QTP,Quetrupillán,Sur Andino,39-40S,high,robust,cellular,medium,preventive_recent,4.5,11.0,0,655,0,censored_no_failure_observed,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
PCC1,PCC,Puyehue-Cordón Caulle,Sur Andino,40-41S,very_high,standard,radio,medium,preventive_recent,4.8,5.2,1,163,1,communication_loss,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
LDM2,LDM,Laguna del Maule,Centro-Sur,35-37S,high,limited,radio,low,preventive_delayed,4.5,4.8,1,705,0,censored_no_failure_observed,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
MCH4,MCH,Mocho-Choshuenco,Sur Andino,39-40S,high,standard,radio,medium,preventive_delayed,6.9,4.3,1,655,0,censored_no_failure_observed,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
PAR5,PAR,Parinacota,Norte Andino,18-20S,medium,standard,satellite,low,preventive_delayed,5.3,5.7,0,377,1,corrective_maintenance_trigger,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
IRR1,IRR,Irruputuncu,Norte Andino,20-22S,medium,limited,radio,medium,preventive_recent,0.7,3.5,0,577,0,censored_no_failure_observed,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
LAS1,LAS,Láscar,Norte Andino,23-24S,low,robust,radio,medium,preventive_delayed,3.3,10.4,0,723,0,censored_no_failure_observed,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
PAR3,PAR,Parinacota,Norte Andino,18-20S,high,robust,satellite,medium,preventive_delayed,6.1,9.1,0,566,0,censored_no_failure_observed,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
OSR6,OSR,Osorno,Sur Andino,41-42S,medium,limited,radio,low,unknown,7.1,3.6,0,657,0,censored_no_failure_observed,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
LON3,LON,Lonquimay,Sur Andino,38-39S,high,limited,cellular,low,preventive_delayed,4.6,3.8,1,697,0,censored_no_failure_observed,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
HUD5,HUD,Hudson,Patagonia Austral,45-46S,high,standard,radio,high,preventive_delayed,5.7,4.4,1,352,1,energy_dropout,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
NCH5,NCH,Nevados de Chillán,Centro-Sur,36-37S,high,robust,cellular,high,preventive_delayed,7.5,7.9,1,707,0,censored_no_failure_observed,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
PCC8,PCC,Puyehue-Cordón Caulle,Sur Andino,40-41S,very_high,standard,radio,medium,preventive_delayed,5.8,3.4,1,617,0,censored_no_failure_observed,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
PCC3,PCC,Puyehue-Cordón Caulle,Sur Andino,40-41S,medium,standard,cellular,low,preventive_delayed,2.1,8.1,0,716,0,censored_no_failure_observed,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
GUA2,GUA,Guallatiri,Norte Andino,18-20S,medium,standard,satellite,medium,preventive_delayed,5.8,5.0,0,622,0,censored_no_failure_observed,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
PAR4,PAR,Parinacota,Norte Andino,18-20S,medium,robust,cellular,high,preventive_delayed,6.6,8.6,1,570,0,censored_no_failure_observed,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
PCC6,PCC,Puyehue-Cordón Caulle,Sur Andino,40-41S,high,robust,radio,medium,preventive_delayed,3.4,9.5,1,621,0,censored_no_failure_observed,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
HUD2,HUD,Hudson,Patagonia Austral,45-46S,very_high,standard,satellite,high,preventive_delayed,1.8,4.1,1,394,1,energy_dropout,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
CHA4,CHA,Chaitén,Patagonia Norte,42-43S,high,standard,radio,high,preventive_delayed,5.0,6.1,0,610,0,censored_no_failure_observed,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
LON1,LON,Lonquimay,Sur Andino,38-39S,medium,robust,radio,high,preventive_delayed,2.7,10.7,0,644,0,censored_no_failure_observed,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
QTP2,QTP,Quetrupillán,Sur Andino,39-40S,high,standard,radio,low,preventive_delayed,6.6,6.7,1,442,1,snow_ice_damage,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
GUA5,GUA,Guallatiri,Norte Andino,18-20S,low,standard,satellite,low,preventive_delayed,5.0,7.4,0,606,0,censored_no_failure_observed,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
VIL7,VIL,Villarrica,Sur Andino,39-40S,high,standard,radio,low,unknown,6.9,5.9,1,640,0,censored_no_failure_observed,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
ANT1,ANT,Antuco,Centro-Sur,37-38S,medium,robust,satellite,medium,preventive_recent,5.8,8.8,0,662,0,censored_no_failure_observed,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
NCH6,NCH,Nevados de Chillán,Centro-Sur,36-37S,high,limited,radio,medium,preventive_recent,4.9,2.7,1,669,0,censored_no_failure_observed,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
CAL2,CAL,Calbuco,Sur Andino,41-42S,medium,limited,satellite,medium,preventive_delayed,5.2,2.7,0,141,1,sensor_or_controller_fault,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
QTP7,QTP,Quetrupillán,Sur Andino,39-40S,high,robust,radio,high,preventive_recent,3.9,7.1,1,571,0,censored_no_failure_observed,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
IRR4,IRR,Irruputuncu,Norte Andino,20-22S,low,standard,satellite,high,preventive_recent,0.6,7.9,0,601,0,censored_no_failure_observed,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
CAL6,CAL,Calbuco,Sur Andino,41-42S,medium,robust,radio,low,preventive_delayed,8.2,10.7,0,670,0,censored_no_failure_observed,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
VIL1,VIL,Villarrica,Sur Andino,39-40S,high,limited,radio,high,preventive_recent,5.4,1.0,1,621,0,censored_no_failure_observed,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
VIL6,VIL,Villarrica,Sur Andino,39-40S,medium,standard,cellular,medium,preventive_recent,3.3,8.0,1,571,0,censored_no_failure_observed,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
MCH2,MCH,Mocho-Choshuenco,Sur Andino,39-40S,very_high,limited,radio,high,preventive_delayed,4.8,1.7,1,594,0,censored_no_failure_observed,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
MEL8,MEL,Melimoyu,Patagonia Norte,44-45S,very_high,standard,cellular,high,preventive_delayed,1.6,4.3,1,703,0,censored_no_failure_observed,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
LAS3,LAS,Láscar,Norte Andino,23-24S,high,robust,cellular,medium,unknown,6.9,10.5,1,676,0,censored_no_failure_observed,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
ISL6,ISL,Isluga,Norte Andino,19-21S,low,standard,radio,medium,preventive_delayed,5.2,6.2,0,701,0,censored_no_failure_observed,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
CAL1,CAL,Calbuco,Sur Andino,41-42S,very_high,standard,radio,medium,preventive_delayed,4.1,4.8,1,560,0,censored_no_failure_observed,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
QTP4,QTP,Quetrupillán,Sur Andino,39-40S,medium,standard,radio,high,preventive_delayed,7.7,4.7,1,633,1,communication_loss,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
VIL3,VIL,Villarrica,Sur Andino,39-40S,high,standard,radio,high,preventive_recent,6.4,4.2,1,636,0,censored_no_failure_observed,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
CHA7,CHA,Chaitén,Patagonia Norte,42-43S,high,standard,satellite,high,unknown,1.6,4.8,1,619,0,censored_no_failure_observed,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
IRR6,IRR,Irruputuncu,Norte Andino,20-22S,low,robust,cellular,medium,preventive_recent,1.5,8.8,0,580,0,censored_no_failure_observed,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
VIL2,VIL,Villarrica,Sur Andino,39-40S,high,robust,radio,high,preventive_recent,2.6,9.7,1,580,0,censored_no_failure_observed,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
MEL6,MEL,Melimoyu,Patagonia Norte,44-45S,very_high,standard,satellite,low,preventive_delayed,3.9,5.5,1,592,1,snow_ice_damage,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
CHA3,CHA,Chaitén,Patagonia Norte,42-43S,medium,limited,radio,high,preventive_delayed,5.7,2.1,0,110,1,energy_dropout,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
PAR2,PAR,Parinacota,Norte Andino,18-20S,medium,robust,radio,high,preventive_delayed,4.0,11.9,0,729,0,censored_no_failure_observed,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
LLM5,LLM,Llaima,Sur Andino,38-39S,very_high,limited,cellular,medium,preventive_delayed,1.4,3.7,0,583,0,censored_no_failure_observed,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
VIL4,VIL,Villarrica,Sur Andino,39-40S,medium,robust,radio,medium,unknown,3.2,10.3,1,615,0,censored_no_failure_observed,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
HUD7,HUD,Hudson,Patagonia Austral,45-46S,very_high,robust,satellite,medium,preventive_recent,2.4,10.0,1,673,0,censored_no_failure_observed,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
LLM6,LLM,Llaima,Sur Andino,38-39S,high,limited,radio,high,unknown,6.8,2.3,1,680,0,censored_no_failure_observed,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
OSR3,OSR,Osorno,Sur Andino,41-42S,very_high,limited,radio,medium,preventive_delayed,3.7,1.6,0,115,1,snow_ice_damage,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
VIL5,VIL,Villarrica,Sur Andino,39-40S,high,robust,radio,low,unknown,8.8,10.2,1,296,1,snow_ice_damage,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
COP7,COP,Copahue,Centro-Sur,37-38S,high,limited,satellite,high,preventive_recent,2.0,4.8,1,726,0,censored_no_failure_observed,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
ISL2,ISL,Isluga,Norte Andino,19-21S,medium,limited,satellite,medium,preventive_delayed,1.9,6.1,1,596,0,censored_no_failure_observed,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
OSR7,OSR,Osorno,Sur Andino,41-42S,very_high,limited,satellite,medium,unknown,4.2,1.0,1,712,0,censored_no_failure_observed,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
PAR7,PAR,Parinacota,Norte Andino,18-20S,medium,standard,cellular,medium,unknown,5.3,5.5,0,644,0,censored_no_failure_observed,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
LLM8,LLM,Llaima,Sur Andino,38-39S,high,robust,satellite,medium,preventive_recent,5.9,9.4,1,620,0,censored_no_failure_observed,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
LDM7,LDM,Laguna del Maule,Centro-Sur,35-37S,very_high,limited,satellite,high,unknown,4.3,2.0,1,669,0,censored_no_failure_observed,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
LAS5,LAS,Láscar,Norte Andino,23-24S,high,standard,satellite,medium,unknown,2.9,7.3,1,664,0,censored_no_failure_observed,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
ISL3,ISL,Isluga,Norte Andino,19-21S,medium,robust,cellular,high,preventive_delayed,3.4,9.9,0,681,0,censored_no_failure_observed,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
CAL3,CAL,Calbuco,Sur Andino,41-42S,very_high,robust,radio,low,preventive_delayed,7.0,10.1,1,651,0,censored_no_failure_observed,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
LON6,LON,Lonquimay,Sur Andino,38-39S,medium,robust,radio,medium,preventive_recent,3.0,9.9,0,690,0,censored_no_failure_observed,True,Servicio Nacional de Geología y Minería / Plataforma de Datos Itrend - Volcanes activos y monitoreados,https://www.plataformadedatos.cl/datasets/es/675E7F2BA04771F
